CODE,DESC,TU1CODE,TU1DESC,TU2CODE,TU2DESC,TU3CODE,TU3DESC,,,
020599,"Household Activities - Lawn, Garden, and Houseplants - Lawn and garden, n.e.c.* ",02,Household Activities,05,"Lawn, Garden, and Houseplants",99,"Lawn and garden, n.e.c.* ",,,"Household Activities - Lawn, Garden, and Houseplants - Lawn and garden, n.e.c.* "
020601,Household Activities - Animals and Pets - Care for animals and pets (not veterinary care),02,Household Activities,06,Animals and Pets,01,Care for animals and pets (not veterinary care),,,Household Activities - Animals and Pets - Care for animals and pets (not veterinary care)
020602,Household Activities - Animals and Pets - Walking / exercising / playing with animals,02,Household Activities,06,Animals and Pets,02,Walking / exercising / playing with animals,,,Household Activities - Animals and Pets - Walking / exercising / playing with animals
020699,"Household Activities - Animals and Pets - Pet and animal care, n.e.c.*",02,Household Activities,06,Animals and Pets,99,"Pet and animal care, n.e.c.*",,,"Household Activities - Animals and Pets - Pet and animal care, n.e.c.*"
020701,Household Activities - Vehicles - Vehicle repair and maintenance (by self),02,Household Activities,07,Vehicles,01,Vehicle repair and maintenance (by self),,,Household Activities - Vehicles - Vehicle repair and maintenance (by self)
020799,"Household Activities - Vehicles - Vehicles, n.e.c.*",02,Household Activities,07,Vehicles,99,"Vehicles, n.e.c.*",,,"Household Activities - Vehicles - Vehicles, n.e.c.*"
020801,"Household Activities - Appliances, Tools, and Toys - Appliance, tool, and toy set-up, repair, & maintenance (by self)",02,Household Activities,08,"Appliances, Tools, and Toys",01,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",,,"Household Activities - Appliances, Tools, and Toys - Appliance, tool, and toy set-up, repair, & maintenance (by self)"
020899,"Household Activities - Appliances, Tools, and Toys - Appliances and tools, n.e.c.*",02,Household Activities,08,"Appliances, Tools, and Toys",99,"Appliances and tools, n.e.c.*",,,"Household Activities - Appliances, Tools, and Toys - Appliances and tools, n.e.c.*"
020901,Household Activities - Household Management - Financial management,02,Household Activities,09,Household Management,01,Financial management,,,Household Activities - Household Management - Financial management
020902,Household Activities - Household Management - Household & personal organization and planning,02,Household Activities,09,Household Management,02,Household & personal organization and planning,,,Household Activities - Household Management - Household & personal organization and planning
020903,Household Activities - Household Management - HH & personal mail & messages (except e-mail),02,Household Activities,09,Household Management,03,HH & personal mail & messages (except e-mail),,,Household Activities - Household Management - HH & personal mail & messages (except e-mail)
020904,Household Activities - Household Management - HH & personal e-mail and messages,02,Household Activities,09,Household Management,04,HH & personal e-mail and messages,,,Household Activities - Household Management - HH & personal e-mail and messages
020905,Household Activities - Household Management - Home security,02,Household Activities,09,Household Management,05,Home security,,,Household Activities - Household Management - Home security
020999,"Household Activities - Household Management - Household management, n.e.c.*",02,Household Activities,09,Household Management,99,"Household management, n.e.c.*",,,"Household Activities - Household Management - Household management, n.e.c.*"
029999,"Household Activities - Household Activities, n.e.c.* - Household Activities, n.e.c.*",02,Household Activities,99,"Household Activities, n.e.c.*",99,"Household Activities, n.e.c.*",,,"Household Activities - Household Activities, n.e.c.* - Household Activities, n.e.c.*"
030101,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Physical care for hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,01,Physical care for hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Physical care for hh children
030102,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Reading to/with hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,02,Reading to/with hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Reading to/with hh children
030103,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Playing with hh children, not sports",03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,03,"Playing with hh children, not sports",,,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Playing with hh children, not sports"
030104,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Arts and crafts with hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,04,Arts and crafts with hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Arts and crafts with hh children
030105,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Playing sports with hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,05,Playing sports with hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Playing sports with hh children
030106,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Talking with/listening to hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,06,Talking with/listening to hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Talking with/listening to hh children
030108,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Organization & planning for hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,08,Organization & planning for hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Organization & planning for hh children
030109,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Looking after hh children (as a primary activity),03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,09,Looking after hh children (as a primary activity),,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Looking after hh children (as a primary activity)
030110,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Attending hh children's events,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,10,Attending hh children's events,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Attending hh children's events
030111,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Waiting for/with hh children,03,Caring For & Helping Household (HH) Members,01,Caring For & Helping HH Children,11,Waiting for/with hh children,,,Caring For & Helping Household (HH) Members - Caring For & Helping HH Children - Waiting for/with hh children
