hour,from,to,number of people
20,50,1,10
20,50,2,2
20,50,3,3
20,50,4,1
20,50,18,1
20,50,12,21
20,50,13,1
20,50,14,1
20,50,16,2
20,50,50,2
20,18,1,70
20,18,2,83
20,18,3,53
20,18,4,7
20,18,5,15
20,18,6,3
20,18,7,31
20,18,8,2
20,18,11,92
20,18,12,180
20,18,13,15
20,18,14,5
20,18,15,4
20,18,16,5
20,18,50,12
20,18,18,45
21,1,1,108
21,1,2,15
21,1,50,8
21,1,5,6
21,1,7,1
21,1,11,11
21,1,12,191
21,1,13,1
21,1,14,7
21,1,16,5
21,1,18,10
21,1,3,10
21,2,1,57
21,2,2,35
21,2,3,14
21,2,5,9
21,2,6,1
21,2,7,2
21,2,8,1
21,2,11,27
21,2,12,176
21,2,18,9
21,2,14,2
21,2,15,1
21,2,16,2
21,2,50,3
21,3,1,47
21,3,2,30
21,3,3,35
21,3,5,12
21,3,7,4
21,3,8,2
21,3,11,3
21,3,12,144
21,3,18,5
21,3,14,1
21,3,15,2
21,3,16,2
21,3,50,2
21,4,1,8
21,4,2,3
21,4,3,3
21,4,4,1
21,4,5,1
21,4,12,7
21,4,18,2
21,5,1,10
21,5,2,5
21,5,3,1
21,5,5,10
21,5,11,3
21,5,12,25
21,5,50,1
21,5,18,6
21,6,1,4
21,6,50,1
21,6,12,8
21,6,5,1
21,6,6,1
21,7,1,5
21,7,2,9
21,7,3,1
21,7,4,1
21,7,7,1
21,7,11,6
21,7,12,15
21,7,13,1
21,7,16,1
21,7,18,7
21,8,1,1
21,8,2,1
21,8,12,1
21,10,12,1
21,11,1,40
21,11,2,16
21,11,3,14
21,11,4,5
21,11,5,11
21,11,6,2
21,11,7,2
21,11,11,1
21,11,12,100
21,11,50,4
21,11,13,1
21,11,16,1
21,11,18,14
21,12,1,342
21,12,2,57
21,12,3,41
21,12,4,3
21,12,5,22
21,12,6,6
21,12,7,5
21,12,8,1
21,12,11,23
21,12,12,288
21,12,50,9
21,12,14,8
21,12,13,7
21,12,16,19
21,12,18,46
21,12,15,2
21,50,1,6
21,50,2,4
21,50,3,1
21,50,11,1
21,50,12,22
21,50,18,3
21,14,1,7
21,14,2,2
21,14,11,1
21,14,12,6
21,14,14,2
21,14,18,3
21,13,1,9
21,13,2,4
21,13,3,1
21,13,11,3
21,13,12,9
21,13,13,1
21,13,18,7
21,16,1,16
21,16,2,5
21,16,5,2
21,16,7,1
21,16,12,33
21,16,50,3
21,16,16,5
21,16,18,1
21,18,1,85
21,18,2,34
21,18,3,40
21,18,4,10
21,18,5,6
21,18,6,3
21,18,7,12
21,18,8,1
21,18,11,59
21,18,12,169
21,18,13,6
21,18,14,1
21,18,15,1
21,18,16,8
21,18,50,1
21,18,18,28
21,15,1,2
21,15,2,1
21,15,3,1
21,15,7,1
21,15,12,7
21,15,15,3
21,15,18,3
22,1,1,125
22,1,2,12
22,1,3,2
22,1,5,3
22,1,6,2
22,1,11,3
22,1,12,150
22,1,50,2
22,1,14,3
22,1,13,1
22,1,16,6
22,1,18,7
22,2,1,52
22,2,2,14
22,2,3,2
22,2,4,1
22,2,5,5
22,2,6,1
22,2,11,7
22,2,12,66
22,2,18,2
22,2,14,1
22,2,16,4
22,2,50,5
22,3,1,21
22,3,2,8
22,3,3,11
22,3,5,1
22,3,6,1
22,3,7,1
22,3,12,47
22,3,14,1
22,3,16,1
22,3,50,2
22,4,1,3
22,4,18,2
22,4,3,1
22,4,12,5
22,4,50,1
22,5,1,15
22,5,2,2
22,5,3,2
22,5,5,3
22,5,11,2
22,5,12,17
22,5,50,1
22,5,18,7
22,6,16,1
22,6,1,5
22,6,50,1
22,6,12,3
22,7,2,1
22,7,3,1
22,7,5,2
22,7,7,1
22,7,11,1
22,7,12,10
22,7,18,4
22,8,1,1
22,8,12,3
22,8,15,1
22,11,1,17
22,11,2,2
22,11,3,4
22,11,5,3
22,11,11,1
22,11,12,59
22,11,50,3
22,11,15,1
22,11,16,2
22,11,18,12
22,12,1,272
22,12,2,35
22,12,3,5
22,12,5,12
22,12,6,5
22,12,7,3
22,12,11,9
22,12,12,144
22,12,18,26
22,12,14,3
22,12,13,4
22,12,16,6
22,12,50,9
22,12,15,2
22,50,1,7
22,50,18,1
22,50,3,2
22,50,12,10
22,50,50,1
22,14,1,5
22,14,12,3
22,14,5,2
22,15,1,3
22,15,18,2
22,15,12,2
22,15,15,1
22,16,1,13
22,16,2,1
22,16,3,1
22,16,5,1
22,16,12,18
22,16,14,1
22,16,16,1
22,16,50,2
22,18,1,75
22,18,2,11
22,18,3,18
22,18,4,3
22,18,5,5
22,18,6,2
22,18,7,6
22,18,11,18
22,18,12,96
22,18,50,1
22,18,14,2
22,18,13,2
22,18,16,4
22,18,18,30
22,13,1,1
22,13,18,3
22,13,2,4
22,13,12,6
22,13,13,1
